state_ut,year,fraud_type,cases_registered,cases_chargesheeted,cases_convicted,persons_arrested,amount_saved_inr,complaints_count
Odisha,2021,Card Fraud,19,10,2.0,8,515593.73,28
Himachal Pradesh,2022,Card Fraud,13,7,1.0,10,321096.82,20
Goa,2023,Identity Theft,7,5,1.0,9,501916.62,12
Uttarakhand,2022,Card Fraud,21,14,1.0,14,543363.91,29
Manipur,2022,Identity Theft,4,2,0.0,2,315970.74,5
Arunachal Pradesh,2024,Other,4,2,0.0,2,69264.48,6
Delhi,2023,Online Banking Fraud,152,97,7.0,132,11599092.11,246
Tripura,2021,Other,2,1,0.0,1,26732.36,4
Meghalaya,2024,Card Fraud,5,3,0.0,4,72607.87,7
Haryana,2024,Identity Theft,88,47,5.0,42,7111585.85,109
Rajasthan,2022,Identity Theft,60,34,4.0,36,5424553.28,95
Sikkim,2023,Online Banking Fraud,4,2,0.0,4,232758.17,5
Bihar,2023,Online Banking Fraud,62,26,1.0,48,2364367.67,75
Bihar,2019,Other,9,5,0.0,7,129025.36,16
Chhattisgarh,2020,OTP Fraud,22,12,1.0,17,215985.32,28
Tripura,2022,OTP Fraud,9,3,0.0,5,85224.73,12
Tripura,2023,Card Fraud,7,5,0.0,6,141194.46,12
Telangana,2020,OTP Fraud,170,66,6.0,91,1751639.1,214
Tamil Nadu,2023,Other,73,31,3.0,44,1254785.46,117
Uttarakhand,2019,Online Banking Fraud,12,7,0.0,12,539925.67,21
Sikkim,2019,Identity Theft,1,1,0.0,2,71499.3,1
Telangana,2020,Identity Theft,51,31,3.0,41,2739696.1,64
Mizoram,2021,Online Banking Fraud,3,1,0.0,1,157217.53,4
Haryana,2021,Online Banking Fraud,67,43,3.0,50,2521299.39,89
Punjab,2022,OTP Fraud,87,36,3.0,57,1656093.21,116
Himachal Pradesh,2021,Other,4,2,0.0,2,63302.64,5
Bihar,2019,OTP Fraud,47,13,1.0,24,902028.47,58
Arunachal Pradesh,2021,Online Banking Fraud,3,2,0.0,3,224963.41,5
Bihar,2019,Identity Theft,11,6,0.0,10,665404.0,15
Arunachal Pradesh,2022,Online Banking Fraud,3,2,0.0,2,219092.75,5
Maharashtra,2021,Identity Theft,77,54,4.0,52,4543048.39,94
Delhi,2022,OTP Fraud,178,86,7.0,73,2621879.28,249
Madhya Pradesh,2020,Identity Theft,22,12,1.0,21,1113102.4,30
Chhattisgarh,2021,OTP Fraud,21,8,1.0,15,335868.32,37
Delhi,2022,UPI Fraud,272,85,9.0,131,2141921.81,326
West Bengal,2022,Other,45,19,3.0,21,662861.05,66
Haryana,2022,UPI Fraud,199,108,6.0,171,1738882.98,236
Uttar Pradesh,2024,OTP Fraud,433,206,7.0,330,7057450.96,542
Uttarakhand,2023,Identity Theft,24,15,2.0,28,1371605.26,30
Uttar Pradesh,2019,UPI Fraud,48,21,1.0,35,352730.47,59
Telangana,2021,Online Banking Fraud,113,54,6.0,61,4299958.0,158
Uttar Pradesh,2021,UPI Fraud,190,63,2.0,65,1796369.42,233
Pondicherry,2021,UPI Fraud,7,3,0.0,5,60348.16,9
Assam,2020,Identity Theft,8,5,1.0,5,623976.09,10
Mizoram,2023,Online Banking Fraud,4,2,0.0,3,141555.23,5
Nagaland,2022,Online Banking Fraud,5,3,0.0,6,270272.74,6
Punjab,2022,UPI Fraud,123,26,4.0,32,782423.91,202
Sikkim,2024,Card Fraud,4,2,0.0,2,111460.06,7
Tripura,2024,Identity Theft,6,3,0.0,4,489127.99,7
Puducherry,2022,Online Banking Fraud,9,6,0.0,7,356333.8,15
Pondicherry,2019,Other,2,1,0.0,2,28560.95,3
Uttar Pradesh,2021,Card Fraud,104,88,3.0,124,1743781.42,138
NCT of Delhi,2019,Identity Theft,28,14,2.0,21,2342583.73,39
Chhattisgarh,2024,UPI Fraud,136,55,4.0,98,1400315.59,238
Bihar,2022,Identity Theft,28,15,1.0,24,1679956.27,39
Maharashtra,2022,Card Fraud,161,113,9.0,140,3385686.61,222
Gujarat,2024,Identity Theft,76,31,5.0,49,7143815.75,92
Uttar Pradesh,2019,Card Fraud,77,45,2.0,60,1568457.51,107
Sikkim,2024,Identity Theft,3,2,0.0,2,247672.75,4
Maharashtra,2020,UPI Fraud,88,38,3.0,46,811287.53,121
Karnataka,2021,UPI Fraud,123,56,4.0,65,1371219.48,147
Manipur,2021,Other,1,1,0.0,1,24273.84,1
Tamil Nadu,2020,Card Fraud,68,41,4.0,58,1151011.75,85
Karnataka,2024,UPI Fraud,888,370,29.0,563,10116487.69,1209
Mizoram,2024,Card Fraud,4,2,0.0,2,59218.34,5
Haryana,2019,Online Banking Fraud,55,32,3.0,49,3443305.22,81
Goa,2020,Card Fraud,5,3,0.0,5,72753.16,8
Madhya Pradesh,2019,Identity Theft,12,7,1.0,10,982967.79,18
Uttar Pradesh,2020,Identity Theft,65,33,2.0,47,3977072.58,102
Telangana,2022,UPI Fraud,355,143,10.0,225,2520899.93,559
Nagaland,2020,Identity Theft,0,0,0.0,0,0.0,0
Manipur,2019,Identity Theft,1,1,0.0,1,94700.27,2
Arunachal Pradesh,2021,Other,1,1,0.0,1,17570.62,2
West Bengal,2022,Identity Theft,66,32,6.0,55,6357624.55,96
Kerala,2024,Online Banking Fraud,77,39,4.0,59,5434851.07,98
Odisha,2019,Identity Theft,7,4,1.0,4,516982.85,11
Rajasthan,2020,Other,26,15,1.0,27,388555.7,34
Mizoram,2023,Identity Theft,3,2,0.0,4,279313.87,4
Andhra Pradesh,2019,Other,10,5,0.0,6,133440.05,13
Sikkim,2019,UPI Fraud,1,0,0.0,0,12576.08,2
Bihar,2022,Card Fraud,41,26,1.0,48,767700.61,59
Bihar,2020,UPI Fraud,31,14,0.0,17,327378.99,45
Gujarat,2022,Identity Theft,56,32,4.0,27,3906370.86,75
Kerala,2023,UPI Fraud,302,146,9.0,194,3463056.51,388
Bihar,2021,Online Banking Fraud,32,18,0.0,24,1093282.57,38
Tamil Nadu,2023,Card Fraud,135,81,8.0,91,2073472.16,232
Uttarakhand,2019,Other,3,1,0.0,2,52810.65,4
Telangana,2023,UPI Fraud,519,198,16.0,374,3046297.92,626
Himachal Pradesh,2019,Identity Theft,3,2,0.0,3,227135.49,4
Tripura,2019,Other,1,0,0.0,0,25017.3,2
Gujarat,2019,UPI Fraud,27,15,1.0,20,319405.23,46
Andhra Pradesh,2023,UPI Fraud,208,86,7.0,116,1932760.41,291
Mizoram,2022,UPI Fraud,9,4,0.0,4,53548.24,15
Uttarakhand,2023,Other,18,7,1.0,13,301636.66,25
Madhya Pradesh,2021,Identity Theft,34,20,3.0,33,1985100.1,43
Uttarakhand,2022,OTP Fraud,53,29,2.0,40,993225.49,74
Bihar,2019,Online Banking Fraud,35,15,1.0,23,1233283.53,41
Maharashtra,2023,Online Banking Fraud,190,115,9.0,107,13098615.76,300
Pondicherry,2021,Other,2,1,0.0,2,33560.1,3
Sikkim,2020,OTP Fraud,3,1,0.0,1,34859.09,5
Meghalaya,2019,Identity Theft,1,1,0.0,2,65086.48,1
Telangana,2024,UPI Fraud,846,370,26.0,349,5847151.89,1115
Manipur,2020,OTP Fraud,6,2,0.0,2,53055.99,8
Kerala,2020,OTP Fraud,71,30,2.0,54,797830.2,93
Tamil Nadu,2020,OTP Fraud,132,52,5.0,76,2315028.36,231
Delhi,2023,OTP Fraud,264,127,10.0,225,3620253.09,405
Punjab,2019,Identity Theft,12,8,1.0,8,1039296.2,19
Sikkim,2024,Other,3,1,0.0,1,48858.53,4
Himachal Pradesh,2022,OTP Fraud,20,8,1.0,8,190613.07,26
Uttar Pradesh,2023,OTP Fraud,412,157,6.0,213,7562022.27,523
NCT of Delhi,2020,UPI Fraud,77,30,2.0,42,497154.45,118
Madhya Pradesh,2019,OTP Fraud,62,32,2.0,53,750449.24,76
Chhattisgarh,2019,Card Fraud,10,5,1.0,4,160501.72,13
Odisha,2022,Identity Theft,25,16,2.0,26,1393372.18,43
Assam,2021,Other,9,4,0.0,5,183001.63,12
Chhattisgarh,2023,Online Banking Fraud,29,17,1.0,18,2032376.15,39
Karnataka,2021,Identity Theft,62,38,5.0,35,5562022.6,77
Chhattisgarh,2021,Card Fraud,13,7,1.0,9,298051.25,19
Manipur,2019,UPI Fraud,2,1,0.0,1,12739.57,2
Meghalaya,2021,Other,2,1,0.0,1,23373.94,3
Sikkim,2022,OTP Fraud,6,3,0.0,5,99532.57,8
Telangana,2023,Other,120,58,6.0,84,1470775.47,169
Punjab,2023,Online Banking Fraud,67,39,4.0,53,4677536.23,111
Gujarat,2021,UPI Fraud,93,34,3.0,63,569669.91,128
Kerala,2022,Identity Theft,47,30,3.0,28,2688293.57,72
Tripura,2021,UPI Fraud,6,2,0.0,3,72086.31,10
Tamil Nadu,2021,Card Fraud,69,46,4.0,83,1977032.13,87
Manipur,2020,Online Banking Fraud,5,2,0.0,3,290745.35,9
Bihar,2022,Online Banking Fraud,54,19,1.0,31,3566568.84,89
Uttar Pradesh,2023,Online Banking Fraud,255,163,7.0,159,19413344.7,413
Manipur,2021,Online Banking Fraud,4,2,0.0,2,219206.48,6
Delhi,2021,OTP Fraud,151,53,6.0,53,2854247.43,236
Nagaland,2019,Other,0,0,0.0,0,0.0,0
Chhattisgarh,2019,UPI Fraud,6,2,0.0,2,50485.94,8
Uttar Pradesh,2022,OTP Fraud,295,148,,280,5769659.77,350
Puducherry,2022,Card Fraud,8,4,1.0,3,144057.16,12
Maharashtra,2019,Online Banking Fraud,104,55,5.0,66,5223535.31,180
Telangana,2020,Card Fraud,73,35,5.0,59,1456118.82,93
Odisha,2024,Card Fraud,42,24,4.0,24,1092562.91,55
Rajasthan,2020,Card Fraud,51,25,3.0,24,876684.71,71
Punjab,2024,Online Banking Fraud,65,29,4.0,28,4499615.58,84
Rajasthan,2021,UPI Fraud,98,49,3.0,74,619645.27,118
Jharkhand,2022,Other,13,6,0.0,10,278394.81,15
Mizoram,2022,Card Fraud,3,1,0.0,1,41175.14,5
Puducherry,2024,OTP Fraud,17,8,1.0,12,294726.66,22
West Bengal,2022,UPI Fraud,194,53,7.0,49,1215047.17,228
Kerala,2022,Other,38,20,2.0,22,954756.43,46
Tamil Nadu,2023,OTP Fraud,284,136,11.0,246,3683126.55,426
Gujarat,2021,Card Fraud,61,37,3.0,32,1126756.61,98
Karnataka,2021,OTP Fraud,175,68,6.0,74,1803083.56,209
Tamil Nadu,2024,Online Banking Fraud,149,93,7.0,152,7178504.21,249
Jharkhand,2023,OTP Fraud,45,15,1.0,15,532829.37,69
Odisha,2021,UPI Fraud,45,24,2.0,35,278883.1,78
Pondicherry,2021,OTP Fraud,9,4,0.0,6,140906.05,14
Andhra Pradesh,2019,Online Banking Fraud,32,21,2.0,28,1140945.79,40
Madhya Pradesh,2024,Card Fraud,102,70,5.0,100,2946956.83,137
Himachal Pradesh,2021,Identity Theft,6,4,0.0,3,528234.76,10
Madhya Pradesh,2023,Identity Theft,66,39,4.0,55,5467679.24,101
Manipur,2019,Card Fraud,3,2,0.0,3,87814.52,5
Mizoram,2021,OTP Fraud,6,2,0.0,2,72616.36,9
Arunachal Pradesh,2019,Online Banking Fraud,3,2,0.0,3,159842.94,5
Odisha,2024,Identity Theft,35,20,3.0,23,1765802.72,46
Nagaland,2024,Online Banking Fraud,5,2,0.0,3,218131.86,8
Gujarat,2022,Other,40,19,2.0,17,790762.16,50
Bihar,2022,Other,25,14,0.0,22,599915.97,36
Madhya Pradesh,2019,UPI Fraud,18,9,1.0,15,162541.55,23
Gujarat,2021,OTP Fraud,132,58,4.0,88,1776000.32,178
Delhi,2023,Other,72,32,3.0,36,1726526.82,112
Delhi,2024,UPI Fraud,824,386,23.0,629,6645031.22,1017
Punjab,2019,OTP Fraud,46,28,2.0,31,469135.1,59
Jharkhand,2019,Other,5,2,0.0,2,115184.82,7
Nagaland,2021,OTP Fraud,7,4,0.0,6,70280.6,9
Gujarat,2022,OTP Fraud,195,88,8.0,79,3213254.0,316
Delhi,2024,OTP Fraud,253,107,9.0,165,2970672.54,389
Gujarat,2021,Online Banking Fraud,85,40,4.0,53,4071721.67,137
Tamil Nadu,2022,UPI Fraud,273,135,9.0,173,2862393.43,475
Punjab,2024,Card Fraud,57,26,3.0,41,1736520.08,84
Madhya Pradesh,2024,Other,91,34,5.0,60,1508951.92,124
Telangana,2023,Online Banking Fraud,219,109,12.0,159,7761662.97,365
Andhra Pradesh,2022,Other,26,16,1.0,20,584400.49,40
Jharkhand,2020,Online Banking Fraud,18,10,0.0,18,1134061.56,21
NCT of Delhi,2020,Other,26,11,1.0,10,372440.03,40
Odisha,2019,UPI Fraud,9,4,0.0,7,105161.26,15
Maharashtra,2023,UPI Fraud,773,252,25.0,303,6859810.44,934
Manipur,2020,Identity Theft,2,1,0.0,1,109233.3,3
Meghalaya,2023,Identity Theft,4,2,0.0,3,196737.28,7
Punjab,2020,OTP Fraud,59,18,2.0,29,1074637.39,100
Arunachal Pradesh,2019,Other,1,0,0.0,0,19647.16,2
Haryana,2019,Card Fraud,31,19,2.0,33,525453.68,56
Madhya Pradesh,2021,Other,21,12,1.0,21,381252.76,36
Pondicherry,2019,UPI Fraud,3,2,0.0,4,17484.91,5
Nagaland,2020,Other,0,0,0.0,0,0.0,0
Andhra Pradesh,2023,OTP Fraud,93,48,4.0,40,1428276.48,126
Goa,2024,Online Banking Fraud,10,6,1.0,7,397986.47,15
Tripura,2023,Online Banking Fraud,8,4,0.0,5,492394.12,10
Kerala,2020,Other,12,5,1.0,8,167953.66,18
Madhya Pradesh,2021,Online Banking Fraud,63,34,4.0,31,3280312.5,96
Uttar Pradesh,2022,Card Fraud,190,146,5.0,130,2726287.07,332
Himachal Pradesh,2024,OTP Fraud,21,9,1.0,16,325852.96,28
Tripura,2020,UPI Fraud,4,2,0.0,3,47390.53,6
Karnataka,2023,UPI Fraud,510,213,16.0,386,4616893.65,748
Karnataka,2019,Card Fraud,56,35,3.0,51,1664486.56,86
Tripura,2023,UPI Fraud,23,9,1.0,10,,31
Rajasthan,2019,Online Banking Fraud,71,45,4.0,55,4750895.52,100
Manipur,2022,Other,3,2,0.0,3,54285.6,5
Andhra Pradesh,2020,Card Fraud,20,12,1.0,22,324870.41,31
Odisha,2024,UPI Fraud,227,98,11.0,176,1714033.73,359
Andhra Pradesh,2021,Online Banking Fraud,39,19,2.0,36,2520271.48,69
Karnataka,2019,Other,25,11,1.0,11,576187.52,37
Odisha,2019,Online Banking Fraud,26,14,2.0,18,1587799.64,32
Nagaland,2023,Card Fraud,6,3,0.0,4,160072.78,8
Kerala,2022,OTP Fraud,86,44,4.0,54,1513722.0,126
Nagaland,2021,Online Banking Fraud,4,2,0.0,3,187387.18,6
Rajasthan,2020,UPI Fraud,45,25,1.0,34,272387.37,66
Maharashtra,2020,Card Fraud,78,54,6.0,99,1723074.58,126
Nagaland,2020,OTP Fraud,1,1,0.0,1,12036.01,1
West Bengal,2021,Identity Theft,42,27,4.0,46,2485532.64,54
Nagaland,2024,Identity Theft,5,3,0.0,4,422515.86,6
Uttarakhand,2022,UPI Fraud,55,22,2.0,30,311265.86,79
Mizoram,2019,Card Fraud,2,1,,2,29702.04,3
Maharashtra,2024,OTP Fraud,324,156,12.0,213,2992646.39,430
Telangana,2021,Other,46,26,2.0,33,695130.17,82
Haryana,2024,OTP Fraud,176,35,7.0,66,3180728.46,316
Chhattisgarh,2022,Identity Theft,15,7,1.0,9,1052653.43,26
Gujarat,2019,Identity Theft,25,18,2.0,27,1332148.97,31
Nagaland,2019,Card Fraud,1,0,0.0,0,30521.66,2
Tripura,2021,Card Fraud,4,2,0.0,2,112935.86,6
Jharkhand,2024,Card Fraud,27,18,1.0,15,553890.36,34
Mizoram,2019,OTP Fraud,4,1,0.0,1,46414.92,5
Karnataka,2022,Online Banking Fraud,133,82,8.0,118,4426011.84,162
Uttarakhand,2024,Online Banking Fraud,41,23,2.0,32,2884714.43,66
Odisha,2019,Card Fraud,15,11,1.0,11,320450.62,24
Delhi,2022,Card Fraud,96,57,6.0,104,2598368.17,119
Haryana,2021,UPI Fraud,90,38,3.0,58,946080.61,118
Sikkim,2020,Online Banking Fraud,3,1,0.0,1,195890.19,4
Assam,2019,OTP Fraud,27,15,1.0,19,262603.88,34
Uttarakhand,2020,Other,6,2,0.0,2,99472.87,8
Odisha,2020,UPI Fraud,18,6,1.0,8,113262.37,29
Punjab,2019,Card Fraud,21,14,1.0,18,454392.55,26
Goa,2024,OTP Fraud,20,10,1.0,19,191474.68,28
Gujarat,2024,UPI Fraud,551,275,18.0,397,4643877.41,994
Haryana,2023,Online Banking Fraud,99,53,5.0,64,7600449.74,138
Telangana,2023,Identity Theft,139,75,11.0,128,10855607.97,243
Tripura,2020,Online Banking Fraud,5,3,0.0,5,384486.83,8
Madhya Pradesh,2024,OTP Fraud,207,106,8.0,155,1809898.32,278
Tripura,2021,Online Banking Fraud,6,3,0.0,5,301675.46,11
Tripura,2023,OTP Fraud,15,7,0.0,11,159090.36,24
Tamil Nadu,2020,Identity Theft,38,25,2.0,40,3295739.63,51
Madhya Pradesh,2020,Other,17,10,1.0,16,341047.41,23
Arunachal Pradesh,2022,Identity Theft,3,2,0.0,4,165555.94,4
Bihar,2020,Identity Theft,16,9,0.0,11,1456661.68,19
Arunachal Pradesh,2019,Identity Theft,1,0,0.0,0,71598.34,1
Tamil Nadu,2019,Identity Theft,30,18,2.0,19,1647653.79,54
Nagaland,2023,Other,3,2,0.0,2,50575.7,5
Gujarat,2024,OTP Fraud,175,82,6.0,74,3183023.51,249
Himachal Pradesh,2019,OTP Fraud,13,4,0.0,4,159306.94,22
Tripura,2020,Other,2,1,0.0,2,27475.58,3
Uttarakhand,2024,Identity Theft,34,18,2.0,24,2090965.6,46
Pondicherry,2019,Identity Theft,1,1,0.0,1,52129.53,2
Himachal Pradesh,2021,Card Fraud,8,5,0.0,7,204157.33,10
Tripura,2022,Card Fraud,5,3,0.0,4,143002.05,8
Haryana,2021,OTP Fraud,94,36,3.0,56,1783387.53,139
Mizoram,2022,Other,2,1,0.0,1,28416.27,2
Himachal Pradesh,2020,Identity Theft,4,2,0.0,4,168606.43,6
Uttarakhand,2019,UPI Fraud,5,1,0.0,1,36745.08,7
Assam,2024,Card Fraud,32,19,2.0,28,895368.39,54
Uttar Pradesh,2024,UPI Fraud,1285,686,20.0,821,9610432.06,2104
Himachal Pradesh,2024,UPI Fraud,71,29,2.0,47,427316.63,97
Jharkhand,2021,OTP Fraud,33,17,0.0,15,500488.0,39
Mizoram,2021,Other,1,0,0.0,0,11247.61,1
Puducherry,2022,Other,4,2,0.0,3,52839.78,6
Rajasthan,2019,OTP Fraud,82,41,3.0,35,1557165.47,123
Meghalaya,2019,Other,1,1,0.0,1,22978.07,1
NCT of Delhi,2020,Online Banking Fraud,82,40,4.0,33,2909090.04,102
Andhra Pradesh,2024,OTP Fraud,93,45,4.0,60,1413852.69,154
Odisha,2023,OTP Fraud,58,25,3.0,44,865375.73,86
Telangana,2023,Card Fraud,183,107,11.0,94,2651300.37,267
Chhattisgarh,2024,Online Banking Fraud,22,11,1.0,14,819002.66,35
Tamil Nadu,2019,Other,24,8,1.0,11,266511.52,37
Rajasthan,2022,Card Fraud,82,55,5.0,101,1179989.2,118
Telangana,2022,Identity Theft,92,37,6.0,56,6584152.23,141
Jharkhand,2020,Card Fraud,12,8,0.0,12,316109.74,17
Meghalaya,2022,Online Banking Fraud,5,2,0.0,3,258041.55,6
Meghalaya,2022,Identity Theft,3,2,0.0,3,176978.41,4
Karnataka,2022,Other,55,22,3.0,41,1278397.83,86
Arunachal Pradesh,2022,UPI Fraud,9,3,0.0,3,72710.68,16
Haryana,2023,Identity Theft,70,32,4.0,41,4553645.72,109
Jharkhand,2019,UPI Fraud,6,2,0.0,3,33548.16,11
West Bengal,2019,Identity Theft,19,10,,14,948053.05,23
Pondicherry,2020,Identity Theft,3,2,0.0,3,141642.37,4
Odisha,2020,Online Banking Fraud,30,15,3.0,21,1777307.53,38
Telangana,2023,OTP Fraud,268,92,10.0,86,4299759.84,436
Andhra Pradesh,2024,Other,36,15,2.0,28,849400.35,57
Kerala,2020,UPI Fraud,42,13,1.0,14,485495.75,63
Meghalaya,2019,Card Fraud,2,1,0.0,1,33036.26,3
Haryana,2024,Other,71,28,3.0,44,996807.54,92
Chhattisgarh,2022,Other,11,4,1.0,5,254481.51,14
Gujarat,2022,Online Banking Fraud,112,60,6.0,78,8436806.78,147
Uttar Pradesh,2020,UPI Fraud,112,54,1.0,44,805024.48,163
Maharashtra,2020,Identity Theft,41,31,3.0,42,3760300.81,55
Nagaland,2023,Identity Theft,3,2,0.0,4,130355.61,5
Telangana,2024,Identity Theft,155,76,9.0,63,10514220.73,251
Jharkhand,2023,Card Fraud,28,15,1.0,18,468023.74,48
Karnataka,2023,Online Banking Fraud,181,105,9.0,101,13315181.4,257
Haryana,2023,OTP Fraud,168,69,6.0,130,2411279.3,213
West Bengal,2021,Other,26,13,1.0,23,442301.04,33
Punjab,2021,UPI Fraud,57,18,2.0,31,434836.66,80
Odisha,2019,OTP Fraud,35,17,2.0,24,679000.56,48
Nagaland,2021,Card Fraud,3,2,0.0,4,88118.43,4
West Bengal,2019,Other,20,11,1.0,10,447192.65,24
Kerala,2023,Identity Theft,49,33,3.0,28,3928905.1,80
Goa,2019,Other,2,1,0.0,2,42743.41,3
Assam,2019,UPI Fraud,7,2,0.0,2,74830.15,10
Maharashtra,2021,Other,45,28,2.0,24,874977.09,78
Chhattisgarh,2019,OTP Fraud,21,10,1.0,16,214829.73,28
Madhya Pradesh,2020,UPI Fraud,37,14,1.0,14,280093.13,66
Sikkim,2024,OTP Fraud,6,2,0.0,2,95251.23,9
Delhi,2021,Other,37,22,2.0,42,801523.58,46
Himachal Pradesh,2023,Online Banking Fraud,15,8,1.0,14,677690.17,20
Tamil Nadu,2023,Online Banking Fraud,150,105,9.0,116,8270969.32,235
Uttar Pradesh,2021,Identity Theft,84,48,2.0,47,6844912.45,107
Bihar,2020,Card Fraud,25,15,1.0,19,479475.5,40
Madhya Pradesh,2023,Card Fraud,120,75,7.0,126,3171646.0,148
Arunachal Pradesh,2023,UPI Fraud,16,9,0.0,12,117355.99,21
Odisha,2020,OTP Fraud,41,18,2.0,21,589569.47,52
Nagaland,2019,UPI Fraud,0,0,0.0,0,0.0,0
Puducherry,2023,Other,6,3,0.0,5,89587.63,8
Jharkhand,2021,Online Banking Fraud,17,8,0.0,7,793794.89,31
Karnataka,2024,Other,140,75,7.0,71,2340884.73,205
Tamil Nadu,2021,UPI Fraud,123,52,4.0,86,795221.79,149
Uttarakhand,2020,OTP Fraud,23,10,1.0,18,355217.01,31
West Bengal,2019,OTP Fraud,82,34,4.0,37,1448123.83,99
Haryana,2022,Identity Theft,41,25,2.0,28,2947191.37,58
Odisha,2024,Other,30,14,2.0,26,436754.64,40
Andhra Pradesh,2021,UPI Fraud,49,25,2.0,36,350984.75,63
Uttarakhand,2021,Card Fraud,12,5,1.0,9,277579.36,18
Assam,2024,Other,19,11,1.0,19,208550.41,28
Mizoram,2022,Identity Theft,3,2,0.0,2,239887.8,4
Haryana,2024,Online Banking Fraud,100,65,5.0,60,5804363.08,168
Karnataka,2024,Online Banking Fraud,164,93,9.0,79,9275774.88,193
Himachal Pradesh,2023,Card Fraud,16,8,1.0,9,237264.6,22
Andhra Pradesh,2020,UPI Fraud,22,7,1.0,10,152670.8,27
Andhra Pradesh,2024,Online Banking Fraud,50,31,3.0,30,1906942.02,60
Manipur,2024,Online Banking Fraud,7,3,0.0,4,341181.36,12
Tripura,2021,Identity Theft,2,1,0.0,1,107541.57,3
Jharkhand,2024,Other,21,8,0.0,12,503448.33,32
Jharkhand,2024,OTP Fraud,34,16,1.0,30,509706.05,48
Haryana,2022,OTP Fraud,146,83,5.0,116,1429197.2,219
Kerala,2019,Other,11,4,1.0,5,175771.14,18
Himachal Pradesh,2022,Identity Theft,9,6,1.0,7,516538.05,11
Puducherry,2024,Card Fraud,9,6,0.0,8,189233.35,15
Punjab,2019,Other,12,6,1.0,10,269657.81,16
Odisha,2022,Other,17,9,1.0,8,252449.01,23
Puducherry,2023,Online Banking Fraud,10,6,0.0,8,462778.49,12
Telangana,2019,Other,25,13,1.0,16,539702.7,38
Madhya Pradesh,2024,Online Banking Fraud,116,83,6.0,131,3879742.15,157
Uttarakhand,2023,Online Banking Fraud,36,22,2.0,40,1712586.34,45
Karnataka,2024,Identity Theft,141,92,9.0,77,11663564.53,230
Goa,2019,Card Fraud,4,2,0.0,3,118871.21,5
Assam,2020,OTP Fraud,36,16,1.0,30,512862.38,44
Gujarat,2023,Online Banking Fraud,123,88,7.0,104,7941085.61,204
Bihar,2019,Card Fraud,22,13,0.0,24,449865.78,33
Maharashtra,2021,Online Banking Fraud,113,67,6.0,80,5330384.77,138
Arunachal Pradesh,2021,OTP Fraud,6,2,0.0,3,82891.98,9
Bihar,2024,Identity Theft,50,34,1.0,34,4470310.87,69
Assam,2022,OTP Fraud,40,23,1.0,23,512000.31,54
Himachal Pradesh,2023,Other,9,6,0.0,5,213487.96,11
Punjab,2022,Identity Theft,32,17,2.0,22,1578116.3,48
Arunachal Pradesh,2019,Card Fraud,2,1,0.0,2,38257.35,3
Tripura,2019,OTP Fraud,6,3,0.0,6,114825.15,11
Maharashtra,2019,Other,27,15,1.0,17,504383.57,38
Bihar,2021,OTP Fraud,58,19,1.0,33,606591.33,105
Tripura,2024,Other,5,2,0.0,2,73732.87,6
Mizoram,2020,UPI Fraud,2,1,0.0,1,17254.31,3
Sikkim,2022,Card Fraud,3,2,0.0,2,70004.02,4
Telangana,2024,Online Banking Fraud,167,105,11.0,173,7616034.33,227
Assam,2024,OTP Fraud,53,16,2.0,14,599873.95,89
Rajasthan,2019,UPI Fraud,26,12,1.0,15,285409.59,46
Uttarakhand,2024,UPI Fraud,148,54,4.0,101,1830075.63,264
Gujarat,2019,OTP Fraud,93,55,3.0,88,1186483.13,151
Telangana,2021,Card Fraud,101,69,6.0,57,2649415.66,122
Goa,2022,Card Fraud,8,4,1.0,7,127707.19,10
Bihar,2020,Online Banking Fraud,34,21,1.0,18,2007830.71,44
Karnataka,2020,Identity Theft,40,20,3.0,33,2967706.65,49
Punjab,2023,Identity Theft,44,27,3.0,46,2507486.48,56
Maharashtra,2022,OTP Fraud,269,128,11.0,148,2975785.87,485
Tripura,2022,Online Banking Fraud,6,3,0.0,3,206046.96,9
Uttar Pradesh,2023,Card Fraud,241,139,7.0,226,5483855.58,384
Punjab,2023,Card Fraud,54,26,3.0,33,897177.64,72
West Bengal,2024,Card Fraud,109,67,9.0,101,2613018.6,146
Pondicherry,2020,Online Banking Fraud,6,3,0.0,5,450640.5,8
Kerala,2022,Online Banking Fraud,61,34,3.0,46,2229791.4,80
Mizoram,2020,Card Fraud,2,1,0.0,2,43747.89,3
Manipur,2021,OTP Fraud,7,3,0.0,5,131573.91,10
Uttar Pradesh,2019,Other,33,18,1.0,34,824494.19,40
Sikkim,2023,Other,2,1,0.0,2,44177.81,3
Sikkim,2023,OTP Fraud,6,3,0.0,5,101672.95,10
Kerala,2022,Card Fraud,46,30,3.0,28,1067495.53,74
Himachal Pradesh,2024,Card Fraud,13,9,1.0,16,178996.84,17
Kerala,2022,UPI Fraud,155,73,4.0,127,1873685.9,247
Maharashtra,2024,UPI Fraud,896,319,31.0,302,9655671.52,1326
Rajasthan,2021,Identity Theft,37,21,2.0,27,2221846.46,56
Himachal Pradesh,2022,Other,7,4,0.0,5,128510.97,9
Mizoram,2019,Identity Theft,1,0,0.0,0,56024.25,2
Nagaland,2019,Identity Theft,0,0,0.0,0,0.0,0
Andhra Pradesh,2023,Card Fraud,44,30,2.0,54,960564.53,53
Odisha,2020,Other,7,3,1.0,5,170306.12,9
